s,C,g/g,g/g,g/g,g/g,g/g,1/s,1/s,1/s,1/s,1/s,W/g,W/g
Time,Temp,Total Mass,vegetation Mass,MOISTURE Mass,CHAR Mass,ASH Mass,Total MLR,vegetation MLR,MOISTURE MLR,CHAR MLR,ASH MLR,MCC,DSC
 6.4800000E+002, 7.8998055E+001, 9.9792969E-001, 3.3987626E-001, 6.5805274E-001, 6.3099469E-007, 0.0000000E+000, 1.8999413E-005, 1.0737907E-008, 1.8992843E-005,-4.1672159E-009, 0.0000000E+000, 0.0000000E+000, 3.1650239E-001
 6.6000000E+002, 7.9998024E+001, 9.9768937E-001, 3.3987615E-001, 6.5781254E-001, 6.8287562E-007, 0.0000000E+000, 2.1081820E-005, 1.1551315E-008, 2.1074753E-005,-4.4828865E-009, 0.0000000E+000, 0.0000000E+000, 3.2146442E-001
 6.7200000E+002, 8.0997986E+001, 9.9742281E-001, 3.3987600E-001, 6.5754610E-001, 7.3867494E-007, 0.0000000E+000, 2.3377748E-005, 1.2421211E-008, 2.3370148E-005,-4.8204800E-009, 0.0000000E+000, 0.0000000E+000, 3.2691857E-001
 6.8400000E+002, 8.1997955E+001, 9.9712735E-001, 3.3987585E-001, 6.5725070E-001, 7.9866385E-007, 0.0000000E+000, 2.5907426E-005, 1.3351153E-008, 2.5899255E-005,-5.1813762E-009, 0.0000000E+000, 0.0000000E+000, 3.3291081E-001
 6.9600000E+002, 8.2997910E+001, 9.9680001E-001, 3.3987567E-001, 6.5692347E-001, 8.6313071E-007, 0.0000000E+000, 2.8692803E-005, 1.4344897E-008, 2.8684026E-005,-5.5670326E-009, 0.0000000E+000, 0.0000000E+000, 3.3949089E-001
 7.0800000E+002, 8.3997864E+001, 9.9643755E-001, 3.3987549E-001, 6.5656114E-001, 9.3238179E-007, 0.0000000E+000, 3.1757681E-005, 1.5406405E-008, 3.1748255E-005,-5.9789880E-009, 0.0000000E+000, 0.0000000E+000, 3.4671271E-001
 7.2000000E+002, 8.4997818E+001, 9.9603659E-001, 3.3987531E-001, 6.5616024E-001, 1.0067423E-006, 0.0000000E+000, 3.5127840E-005, 1.6539865E-008, 3.5117719E-005,-6.4188659E-009, 0.0000000E+000, 0.0000000E+000, 3.5463458E-001
 7.3200000E+002, 8.5997765E+001, 9.9559313E-001, 3.3987510E-001, 6.5571696E-001, 1.0865576E-006, 0.0000000E+000, 3.8831156E-005, 1.7749688E-008, 3.8820293E-005,-6.8883796E-009, 0.0000000E+000, 0.0000000E+000, 3.6331943E-001
 7.4400000E+002, 8.6997704E+001, 9.9510312E-001, 3.3987486E-001, 6.5522707E-001, 1.1721941E-006, 0.0000000E+000, 4.2897769E-005, 1.9040533E-008, 4.2886117E-005,-7.3893363E-009, 0.0000000E+000, 0.0000000E+000, 3.7283525E-001
 7.5600000E+002, 8.7997643E+001, 9.9456197E-001, 3.3987463E-001, 6.5468609E-001, 1.2640403E-006, 0.0000000E+000, 4.7360190E-005, 2.0417305E-008, 4.7347698E-005,-7.9236404E-009, 0.0000000E+000, 0.0000000E+000, 3.8325515E-001
 7.6800000E+002, 8.8997566E+001, 9.9396473E-001, 3.3987439E-001, 6.5408897E-001, 1.3625083E-006, 0.0000000E+000, 5.2253476E-005, 2.1885178E-008, 5.2240084E-005,-8.4932994E-009, 0.0000000E+000, 0.0000000E+000, 3.9465794E-001
 7.8000000E+002, 8.9997490E+001, 9.9330598E-001, 3.3987412E-001, 6.5343040E-001, 1.4680352E-006, 0.0000000E+000, 5.7615343E-005, 2.3449603E-008, 5.7600995E-005,-9.1004289E-009, 0.0000000E+000, 0.0000000E+000, 4.0712824E-001
 7.9200000E+002, 9.0997406E+001, 9.9257988E-001, 3.3987382E-001, 6.5270442E-001, 1.5810837E-006, 0.0000000E+000, 6.3486339E-005, 2.5116320E-008, 6.3470972E-005,-9.7472554E-009, 0.0000000E+000, 0.0000000E+000, 4.2075688E-001
 8.0400000E+002, 9.1997314E+001, 9.9178004E-001, 3.3987352E-001, 6.5190482E-001, 1.7021442E-006, 0.0000000E+000, 6.9909969E-005, 2.6891367E-008, 6.9893511E-005,-1.0436124E-008, 0.0000000E+000, 0.0000000E+000, 4.3564108E-001
 8.1600000E+002, 9.2997208E+001, 9.9089956E-001, 3.3987316E-001, 6.5102452E-001, 1.8317359E-006, 0.0000000E+000, 7.6932825E-005, 2.8781107E-008, 7.6915210E-005,-1.1169503E-008, 0.0000000E+000, 0.0000000E+000, 4.5188484E-001
 8.2800000E+002, 9.3997101E+001, 9.8993099E-001, 3.3987281E-001, 6.5005618E-001, 1.9704082E-006, 0.0000000E+000, 8.4604733E-005, 3.0792233E-008, 8.4585889E-005,-1.1949989E-008, 0.0000000E+000, 0.0000000E+000, 4.6959922E-001
 8.4000000E+002, 9.4996979E+001, 9.8886615E-001, 3.3987245E-001, 6.4899158E-001, 2.1187429E-006, 0.0000000E+000, 9.2978851E-005, 3.2931776E-008, 9.2958697E-005,-1.2780313E-008, 0.0000000E+000, 0.0000000E+000, 4.8890233E-001
 8.5200000E+002, 9.5996841E+001, 9.8769635E-001, 3.3987203E-001, 6.4782202E-001, 2.2773552E-006, 0.0000000E+000, 1.0211179E-004, 3.5207137E-008, 1.0209025E-004,-1.3663346E-008, 0.0000000E+000, 0.0000000E+000, 5.0991982E-001
 8.6400000E+002, 9.6996696E+001, 9.8641211E-001, 3.3987159E-001, 6.4653808E-001, 2.4468952E-006, 0.0000000E+000, 1.1206367E-004, 3.7626094E-008, 1.1204065E-004,-1.4602106E-008, 0.0000000E+000, 0.0000000E+000, 5.3278488E-001
 8.7600000E+002, 9.7996536E+001, 9.8500317E-001, 3.3987114E-001, 6.4512944E-001, 2.6280509E-006, 0.0000000E+000, 1.2289819E-004, 4.0196817E-008, 1.2287359E-004,-1.5599763E-008, 0.0000000E+000, 0.0000000E+000, 5.5763811E-001
 8.8800000E+002, 9.8996361E+001, 9.8345864E-001, 3.3987063E-001, 6.4358521E-001, 2.8215488E-006, 0.0000000E+000, 1.3468262E-004, 4.2927887E-008, 1.3465635E-004,-1.6659650E-008, 0.0000000E+000, 0.0000000E+000, 5.8462787E-001
 9.0000000E+002, 9.9996178E+001, 9.8176658E-001, 3.3987010E-001, 6.4189345E-001, 3.0281562E-006, 0.0000000E+000, 1.4748782E-004, 4.5828312E-008, 1.4745978E-004,-1.7785259E-008, 0.0000000E+000, 0.0000000E+000, 6.1390996E-001
 9.1200000E+002, 1.0099597E+002, 9.7991443E-001, 3.3986953E-001, 6.4004165E-001, 3.2486842E-006, 0.0000000E+000, 1.6138813E-004, 4.8907555E-008, 1.6135820E-004,-1.8980266E-008, 0.0000000E+000, 0.0000000E+000, 6.4564735E-001
 9.2400000E+002, 1.0199574E+002, 9.7788846E-001, 3.3986893E-001, 6.3801605E-001, 3.4839879E-006, 0.0000000E+000, 1.7646124E-004, 5.2175537E-008, 1.7642931E-004,-2.0248519E-008, 0.0000000E+000, 0.0000000E+000, 6.8000996E-001
 9.3600000E+002, 1.0299550E+002, 9.7567415E-001, 3.3986828E-001, 6.3580215E-001, 3.7349707E-006, 0.0000000E+000, 1.9278795E-004, 5.5642673E-008, 1.9275390E-004,-2.1594062E-008, 0.0000000E+000, 0.0000000E+000, 7.1717399E-001
 9.4800000E+002, 1.0399524E+002, 9.7325599E-001, 3.3986759E-001, 6.3338441E-001, 4.0025852E-006, 0.0000000E+000, 2.1045194E-004, 5.9319877E-008, 2.1041564E-004,-2.3021128E-008, 0.0000000E+000, 0.0000000E+000, 7.5732112E-001
 9.6000000E+002, 1.0499495E+002, 9.7061741E-001, 3.3986685E-001, 6.3074630E-001, 4.2878364E-006, 0.0000000E+000, 2.2953929E-004, 6.3218600E-008, 2.2950061E-004,-2.4534160E-008, 0.0000000E+000, 0.0000000E+000, 8.0063760E-001
 9.7200000E+002, 1.0599464E+002, 9.6774083E-001, 3.3986607E-001, 6.2787014E-001, 4.5917832E-006, 0.0000000E+000, 2.5013799E-004, 6.7350825E-008, 2.5009678E-004,-2.6137815E-008, 0.0000000E+000, 0.0000000E+000, 8.4731317E-001
 9.8400000E+002, 1.0699429E+002, 9.6460754E-001, 3.3986524E-001, 6.2473738E-001, 4.9155424E-006, 0.0000000E+000, 2.7233729E-004, 7.1729133E-008, 2.7229340E-004,-2.7836968E-008, 0.0000000E+000, 0.0000000E+000, 8.9753890E-001
 9.9600000E+002, 1.0799393E+002, 9.6119773E-001, 3.3986434E-001, 6.2132812E-001, 5.2602904E-006, 0.0000000E+000, 2.9622679E-004, 7.6366682E-008, 2.9618005E-004,-2.9636729E-008, 0.0000000E+000, 0.0000000E+000, 9.5150602E-001
 1.0080000E+003, 1.0899353E+002, 9.5749068E-001, 3.3986339E-001, 6.1762166E-001, 5.6272661E-006, 0.0000000E+000, 3.2189550E-004, 8.1277250E-008, 3.2184579E-004,-3.1542445E-008, 0.0000000E+000, 0.0000000E+000, 1.0094029E+000
 1.0200000E+003, 1.0999310E+002, 9.5346451E-001, 3.3986238E-001, 6.1359608E-001, 6.0177749E-006, 0.0000000E+000, 3.4943066E-004, 8.6475261E-008, 3.4937775E-004,-3.3559711E-008, 0.0000000E+000, 0.0000000E+000, 1.0714124E+000
 1.0320000E+003, 1.1099263E+002, 9.4909626E-001, 3.3986133E-001, 6.0922855E-001, 6.4331898E-006, 0.0000000E+000, 3.7891613E-004, 9.1975799E-008, 3.7885984E-004,-3.5694388E-008, 0.0000000E+000, 0.0000000E+000, 1.1377090E+000
 1.0440000E+003, 1.1199213E+002, 9.4436210E-001, 3.3986017E-001, 6.0449505E-001, 6.8749564E-006, 0.0000000E+000, 4.1043086E-004, 9.7794668E-008, 4.1037099E-004,-3.7952599E-008, 0.0000000E+000, 0.0000000E+000, 1.2084541E+000
 1.0560000E+003, 1.1299158E+002, 9.3923718E-001, 3.3985898E-001, 5.9937090E-001, 7.3445949E-006, 0.0000000E+000, 4.4404672E-004, 1.0394837E-007, 4.4398312E-004,-4.0340758E-008, 0.0000000E+000, 0.0000000E+000, 1.2837920E+000
